,Unnamed: 0,Country,Value,Lower_value,Upper_value,Unnamed: 0.1,Happiness Score,Lower Confidence Interval,Upper Confidence Interval,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual,Gini index,new_value,Region,Happiness Rank,Average Temperature
73,75,Philippines,2.605,1.9,9.3025,113,5.279,5.16,5.398,0.81217,0.87877,0.47036,0.54854,0.11757,0.21674,2.23484,37.81171,46.55639829099819,Southeastern Asia,76,26.440472486772517
74,76,China,6.84,5.3725000000000005,8.7825,29,5.245,5.199,5.291,1.0278,0.79381,0.73561,0.44012,0.02745,0.04959,2.17087,34.65233500000001,33.715056431212304,Eastern Asia,77,6.612731031349375
75,77,Bhutan,5.0925,2.7575000000000003,8.55,15,5.196,5.138,5.254,0.8527,0.90836,0.49759,0.46074,0.1616,0.48546,1.82916,37.44141000000001,43.909241233728174,Southern Asia,78,11.811878969957082
76,78,Kyrgyzstan,9.0025,7.1675,11.18,75,5.185,5.103,5.267,0.56044,0.95434,0.55449,0.40212,0.04762,0.38432,2.28136,27.876832500000003,49.7409758404111,Central and Eastern Europe,79,3.2204981651376143
77,79,Serbia,6.657500000000001,4.8425,8.92,123,5.177,5.083,5.271,1.03437,0.81329,0.6458,0.15718,0.04339,0.20737,2.27539,33.92163,32.79448359871226,Central and Eastern Europe,80,9.986563171193945
78,81,Montenegro,16.255,11.1125,23.2775,95,5.161,5.055,5.267,1.07838,0.74173,0.63533,0.15111,0.12721,0.17191,2.25531,38.48795,35.690526530536545,Central and Eastern Europe,82,10.21462950094757
79,82,Dominican Republic,5.8475,3.5075,9.3375,39,5.155,5.037,5.273,1.02787,0.99496,0.57669,0.52259,0.12372,0.21286,1.69626,43.3812075,42.204955393191746,Latin America and Caribbean,83,25.547511210762387
80,83,Morocco,7.3175,3.44,13.51,96,5.151,5.058,5.244,0.84058,0.38595,0.59471,0.25646,0.08404,0.04053,2.94891,39.54851,47.049073258940254,Middle East and Northern Africa,84,17.62749740932639
81,84,Hungary,12.5775,10.24,15.2825,58,5.145,5.056,5.234,1.24142,0.93164,0.67608,0.1977,0.04472,0.099,1.95473,30.033955,24.19322630535999,Central and Eastern Europe,85,9.722423246999355
82,85,Pakistan,9.89,4.8375,17.905,108,5.132,5.038,5.226,0.68816,0.26135,0.40306,0.14622,0.1388,0.31185,3.18286,31.60009,45.919684375726575,Southern Asia,86,20.615513304305733
83,86,Lebanon,2.765,1.4825,4.9175,78,5.129,5.031,5.227,1.12268,0.64184,0.76171,0.26228,0.03061,0.23693,2.07339,31.83245,28.353983325613715,Middle East and Northern Africa,87,17.631617730784885
84,87,Portugal,7.49,6.015000000000001,9.22,115,5.123,5.03,5.216,1.27607,0.94367,0.79363,0.44727,0.01521,0.11691,1.53015,33.99487,26.640286191196406,Western Europe,88,14.688179987212278
85,88,Vietnam,7.4175,4.0425,11.5425,157,5.118,4.991,5.131,0.740685,1.068585,0.756285,0.55127,0.09428,0.25075,1.9418,35.71555,48.219621026482244,Southeastern Asia,89,23.688365504061206
86,89,Tunisia,3.065,1.64,5.2475000000000005,146,5.045,4.965,5.125,0.97724,0.43165,0.59577,0.23553,0.0817,0.03936,2.68413,32.81588,33.58016454504523,Middle East and Northern Africa,90,19.97059047314578
87,90,Greece,3.62,2.875,4.5125,52,5.033,4.935,5.131,1.24886,0.75473,0.80029,0.05822,0.04127,0.0,2.12944,33.773270000000004,27.04327947087744,Western Europe,91,14.773012002526816
88,91,Tajikistan,5.32,3.3075,7.81,141,4.996,4.923,5.069,0.48835,0.75602,0.53119,0.43408,0.13509,0.25998,2.39106,33.99572,69.6134329886352,Central and Eastern Europe,92,4.016035217794258
89,92,Mongolia,18.905,11.5975,29.0625,94,4.907,4.838,4.976,0.98853,1.08983,0.55469,0.35972,0.03285,0.34539,1.53586,32.60923666666667,32.987604490168906,Eastern Asia,93,-0.8206709844559608
90,93,Nigeria,7.025,3.93,11.835,105,4.875,4.75,5.0,0.75216,0.64498,0.05108,0.27854,0.0305,0.23219,2.88586,35.12774,46.702483514145925,Sub-Saharan Africa,94,26.74470830912261
91,94,Honduras,2.6375,1.37,5.1025,56,4.871,4.75,4.992,0.69429,0.75596,0.58383,0.26755,0.06906,0.2044,2.29551,49.090835,70.70652753172305,Latin America and Caribbean,95,24.6955479945922
92,95,Zambia,15.9275,9.85,24.2775,159,4.795,4.645,4.945,0.61202,0.6376,0.23573,0.42662,0.11479,0.17866,2.58991,57.13606,93.35652429659162,Sub-Saharan Africa,96,21.282955621301788
93,96,Nepal,9.6925,5.245,15.115,100,4.793,4.698,4.888,0.44626,0.69699,0.50073,0.37012,0.07008,0.3816,2.32694,32.84059,73.59070945188903,Southern Asia,97,14.807390612244879
94,97,Iran,5.585,4.3575,6.85,62,4.6805,4.703,4.923,1.10879,0.615285,0.71366,0.26522,0.09035,0.38538,1.99817,42.0033,37.882105718846674,Middle East and Northern Africa,98,17.60707645115617
95,98,Albania,3.985,2.195,6.0925,1,4.655,4.546,4.764,0.9553,0.50163,0.73007,0.31866,0.05301,0.1684,1.92816,33.3053775,34.86378886213755,Central and Eastern Europe,99,12.61064592545798
96,99,Bangladesh,3.72,2.3375,5.7025,10,4.643,4.56,4.726,0.54177,0.24749,0.52989,0.39778,0.12583,0.19132,2.60904,32.38527,59.77678719751924,Southern Asia,100,24.82024278370897
97,100,Sierra Leone,11.055,6.095,18.45,124,4.635,4.505,4.765,0.36485,0.628,0.0,0.30685,0.08196,0.23897,3.01402,35.69018,97.82151569138001,Sub-Saharan Africa,101,26.022571277159468
98,102,Iraq,5.03,2.995,7.905,63,4.575,4.446,4.704,1.07474,0.59205,0.51076,0.24856,0.13636,0.19589,1.81657,29.54186,27.487448126988852,Middle East and Northern Africa,103,21.77562887931037
99,103,Namibia,14.3475,8.174999999999999,23.875,99,4.574,4.374,4.774,0.93287,0.70362,0.34745,0.48614,0.10398,0.07795,1.92198,59.06661,63.31708598196962,Sub-Saharan Africa,104,20.48449519743865
100,104,Cameroon,16.155,9.4625,25.74,24,4.513,4.417,4.609,0.52497,0.62542,0.12698,0.42736,0.06126,0.2268,2.5198,46.64087,88.84482922833685,Sub-Saharan Africa,105,24.352585590778116
101,105,Ethiopia,9.6,6.7575,13.65,44,4.508,4.425,4.591,0.29283,0.37932,0.34578,0.36703,0.1717,0.29522,2.65614,34.993120000000005,119.49977802820752,Sub-Saharan Africa,106,23.012356759976136
102,106,South Africa,24.7575,16.32,35.145,130,4.459,4.371,4.547,1.02416,0.96053,0.18611,0.42483,0.08415,0.13656,1.64227,63.02607,61.539280971723166,Sub-Saharan Africa,107,17.270982915109443
103,108,Sri Lanka,13.4925,8.9125,22.0125,134,4.415,4.322,4.508,0.97318,0.84783,0.62007,0.50817,0.07964,0.46978,0.91681,39.34577,40.430105427567355,Southern Asia,109,26.9476870015949
104,109,India,12.7175,9.315,15.7775,60,4.404,4.351,4.457,0.74036,0.29247,0.45091,0.40285,0.08722,0.25028,2.18032,35.070975000000004,47.370164514560486,Southern Asia,110,23.87378947368426
